title,exists,page_id,size_bytes,total_views_30days,average_daily_views,total_contributors,total_edits,category_count,references_count,last_revision_id,last_edit_timestamp,days_since_last_edit,is_protected,categories,error,all_categories,timestamp
Machine learning,True,233488,138232,159239,5307.97,1139,4005,10,176,1282132084,2025-03-24T14:58:52Z,1,False,"Articles with excerpts,Articles with short description,Commons category link from Wikidata,Cybernetics,Definition,Learning,Machine learning,Short description is different from Wikidata,Webarchive template wayback links,Wikipedia articles needing clarification from January 2024",,"[""Articles with excerpts"", ""Articles with short description"", ""Commons category link from Wikidata"", ""Cybernetics"", ""Definition"", ""Learning"", ""Machine learning"", ""Short description is different from Wikidata"", ""Webarchive template wayback links"", ""Wikipedia articles needing clarification from January 2024""]",2025-03-25 21:20:54
Marie Curie,True,20408,114912,275110,9170.33,1339,5304,90,126,1281900141,2025-03-23T04:13:47Z,2,True,"1867 births,1934 deaths,19th-century French chemists,19th-century French inventors,19th-century French physicists,19th-century French women scientists,19th-century Polish chemists,19th-century Polish inventors,19th-century Polish physicists,19th-century Polish women scientists,19th-century women inventors,20th-century French chemists,20th-century French inventors,20th-century French physicists,20th-century French women scientists,20th-century Polish chemists,20th-century Polish inventors,20th-century Polish physicists,20th-century Polish women scientists,20th-century women inventors,Academic staff of the University of Paris,Articles containing French-language text,Articles prone to spam from August 2020,Articles with Internet Archive links,Articles with LibriVox links,Articles with Open Library links,Articles with Project Gutenberg links,Articles with hCards,Articles with short description,Biography with signature,Burials at the Panthéon, Paris,CS1: unfit URL,CS1 French-language sources (fr),CS1 Italian-language sources (it),CS1 Polish-language sources (pl),CS1 Spanish-language sources (es),Commons category link from Wikidata,Corresponding Members of the Russian Academy of Sciences (1917–1925),Corresponding Members of the USSR Academy of Sciences,Corresponding members of the Saint Petersburg Academy of Sciences,Curie family,Deaths by acute radiation syndrome,Deaths from anemia,Discoverers of chemical elements,Emigrants from Congress Poland to France,Experimental physicists,Flying University alumni,Former Roman Catholics,French Nobel laureates,French agnostics,French atheists,French nuclear physicists,French women chemists,French women physicists,Good articles,Honorary members of the USSR Academy of Sciences,International members of the American Philosophical Society,Inventors killed by their own invention,Legion of Honour refusals,Marie Curie,Members of the Lwów Scientific Society,Naturalized citizens of France,Nobel laureates in Chemistry,Nobel laureates in Physics,Nobel laureates with multiple Nobel awards,Nobelprize template using Wikidata property P8024,Nuclear chemists,Pages including recorded pronunciations,Pages using the Phonos extension,Pages with French IPA,Pages with Polish IPA,People from Warsaw Governorate,Polish Nobel laureates,Polish agnostics,Polish atheists,Polish governesses,Polish nuclear physicists,Recipients of the Matteucci Medal,Scientists from Congress Poland,Scientists from Warsaw,Short description is different from Wikidata,Skłodowski family,University of Paris alumni,Use British English from October 2024,Use dmy dates from October 2024,Webarchive template wayback links,Wikipedia indefinitely semi-protected pages,Women's firsts,Women Nobel laureates,Women nuclear physicists",,"[""1867 births"", ""1934 deaths"", ""19th-century French chemists"", ""19th-century French inventors"", ""19th-century French physicists"", ""19th-century French women scientists"", ""19th-century Polish chemists"", ""19th-century Polish inventors"", ""19th-century Polish physicists"", ""19th-century Polish women scientists"", ""19th-century women inventors"", ""20th-century French chemists"", ""20th-century French inventors"", ""20th-century French physicists"", ""20th-century French women scientists"", ""20th-century Polish chemists"", ""20th-century Polish inventors"", ""20th-century Polish physicists"", ""20th-century Polish women scientists"", ""20th-century women inventors"", ""Academic staff of the University of Paris"", ""Articles containing French-language text"", ""Articles prone to spam from August 2020"", ""Articles with Internet Archive links"", ""Articles with LibriVox links"", ""Articles with Open Library links"", ""Articles with Project Gutenberg links"", ""Articles with hCards"", ""Articles with short description"", ""Biography with signature"", ""Burials at the Panth\u00e9on, Paris"", ""CS1: unfit URL"", ""CS1 French-language sources (fr)"", ""CS1 Italian-language sources (it)"", ""CS1 Polish-language sources (pl)"", ""CS1 Spanish-language sources (es)"", ""Commons category link from Wikidata"", ""Corresponding Members of the Russian Academy of Sciences (1917\u20131925)"", ""Corresponding Members of the USSR Academy of Sciences"", ""Corresponding members of the Saint Petersburg Academy of Sciences"", ""Curie family"", ""Deaths by acute radiation syndrome"", ""Deaths from anemia"", ""Discoverers of chemical elements"", ""Emigrants from Congress Poland to France"", ""Experimental physicists"", ""Flying University alumni"", ""Former Roman Catholics"", ""French Nobel laureates"", ""French agnostics"", ""French atheists"", ""French nuclear physicists"", ""French women chemists"", ""French women physicists"", ""Good articles"", ""Honorary members of the USSR Academy of Sciences"", ""International members of the American Philosophical Society"", ""Inventors killed by their own invention"", ""Legion of Honour refusals"", ""Marie Curie"", ""Members of the Lw\u00f3w Scientific Society"", ""Naturalized citizens of France"", ""Nobel laureates in Chemistry"", ""Nobel laureates in Physics"", ""Nobel laureates with multiple Nobel awards"", ""Nobelprize template using Wikidata property P8024"", ""Nuclear chemists"", ""Pages including recorded pronunciations"", ""Pages using the Phonos extension"", ""Pages with French IPA"", ""Pages with Polish IPA"", ""People from Warsaw Governorate"", ""Polish Nobel laureates"", ""Polish agnostics"", ""Polish atheists"", ""Polish governesses"", ""Polish nuclear physicists"", ""Recipients of the Matteucci Medal"", ""Scientists from Congress Poland"", ""Scientists from Warsaw"", ""Short description is different from Wikidata"", ""Sk\u0142odowski family"", ""University of Paris alumni"", ""Use British English from October 2024"", ""Use dmy dates from October 2024"", ""Webarchive template wayback links"", ""Wikipedia indefinitely semi-protected pages"", ""Women's firsts"", ""Women Nobel laureates"", ""Women nuclear physicists""]",2025-03-25 21:20:56
Photosynthesis,True,24544,112420,76854,2561.8,1144,5441,14,116,1280034653,2025-03-12T02:08:45Z,13,True,"Agronomy,Articles with short description,Biological processes,Botany,Cellular respiration,Ecosystems,Metabolism,Photosynthesis,Plant nutrition,Plant physiology,Quantum biology,Short description matches Wikidata,Webarchive template wayback links,Wikipedia pages semi-protected against vandalism",,"[""Agronomy"", ""Articles with short description"", ""Biological processes"", ""Botany"", ""Cellular respiration"", ""Ecosystems"", ""Metabolism"", ""Photosynthesis"", ""Plant nutrition"", ""Plant physiology"", ""Quantum biology"", ""Short description matches Wikidata"", ""Webarchive template wayback links"", ""Wikipedia pages semi-protected against vandalism""]",2025-03-25 21:20:56
DNA,True,7955,170807,101427,3380.9,1530,6355,19,222,1282224449,2025-03-25T03:10:26Z,0,True,"Articles with excerpts,Articles with hAudio microformats,Articles with short description,Biotechnology,CS1 German-language sources (de),CS1 Italian-language sources (it),CS1 Russian-language sources (ru),DNA,Featured articles,Helices,Nucleic acids,Pages including recorded pronunciations,Pages using the Phonos extension,Short description is different from Wikidata,Spoken articles,Use dmy dates from March 2022,Webarchive template wayback links,Wikipedia indefinitely move-protected pages,Wikipedia pages semi-protected against vandalism",,"[""Articles with excerpts"", ""Articles with hAudio microformats"", ""Articles with short description"", ""Biotechnology"", ""CS1 German-language sources (de)"", ""CS1 Italian-language sources (it)"", ""CS1 Russian-language sources (ru)"", ""DNA"", ""Featured articles"", ""Helices"", ""Nucleic acids"", ""Pages including recorded pronunciations"", ""Pages using the Phonos extension"", ""Short description is different from Wikidata"", ""Spoken articles"", ""Use dmy dates from March 2022"", ""Webarchive template wayback links"", ""Wikipedia indefinitely move-protected pages"", ""Wikipedia pages semi-protected against vandalism""]",2025-03-25 21:20:57
Python (programming language),True,23862,173961,398000,13266.67,2166,9410,34,249,1281754272,2025-03-22T07:53:42Z,3,False,"All Wikipedia articles written in American English,All articles containing potentially dated statements,Articles containing potentially dated statements from 2008,Articles containing potentially dated statements from 2020,Articles containing potentially dated statements from December 2022,Articles containing potentially dated statements from March 2025,Articles with example Python (programming language) code,Articles with short description,CS1: unfit URL,Class-based programming languages,Computer science in the Netherlands,Concurrent programming languages,Cross-platform free software,Cross-platform software,Dutch inventions,Dynamically typed programming languages,Educational programming languages,High-level programming languages,Information technology in the Netherlands,Monty Python references,Multi-paradigm programming languages,Notebook interface,Object-oriented programming languages,Pages using Sister project links with hidden wikidata,Pages using Sister project links with wikidata namespace mismatch,Pattern matching programming languages,Programming languages,Programming languages created in 1991,Python (programming language),Scripting languages,Short description matches Wikidata,Text-oriented programming languages,Use American English from December 2024,Use dmy dates from November 2021",,"[""All Wikipedia articles written in American English"", ""All articles containing potentially dated statements"", ""Articles containing potentially dated statements from 2008"", ""Articles containing potentially dated statements from 2020"", ""Articles containing potentially dated statements from December 2022"", ""Articles containing potentially dated statements from March 2025"", ""Articles with example Python (programming language) code"", ""Articles with short description"", ""CS1: unfit URL"", ""Class-based programming languages"", ""Computer science in the Netherlands"", ""Concurrent programming languages"", ""Cross-platform free software"", ""Cross-platform software"", ""Dutch inventions"", ""Dynamically typed programming languages"", ""Educational programming languages"", ""High-level programming languages"", ""Information technology in the Netherlands"", ""Monty Python references"", ""Multi-paradigm programming languages"", ""Notebook interface"", ""Object-oriented programming languages"", ""Pages using Sister project links with hidden wikidata"", ""Pages using Sister project links with wikidata namespace mismatch"", ""Pattern matching programming languages"", ""Programming languages"", ""Programming languages created in 1991"", ""Python (programming language)"", ""Scripting languages"", ""Short description matches Wikidata"", ""Text-oriented programming languages"", ""Use American English from December 2024"", ""Use dmy dates from November 2021""]",2025-03-25 21:20:59
Leonardo da Vinci,True,18079,140603,274151,9138.37,2215,10129,71,229,1277819090,2025-02-26T21:53:54Z,26,True,"1452 births,1519 deaths,15th-century Italian mathematicians,15th-century Italian painters,15th-century Italian scientists,15th-century Italian sculptors,15th-century people from the Republic of Florence,16th-century Italian inventors,16th-century Italian mathematicians,16th-century Italian painters,16th-century Italian scientists,16th-century Italian sculptors,16th-century people from the Republic of Florence,All articles with failed verification,All articles with unsourced statements,Ambassadors of the Republic of Florence,Articles containing French-language text,Articles containing Italian-language text,Articles containing Spanish-language text,Articles with LibriVox links,Articles with Project Gutenberg links,Articles with failed verification from February 2023,Articles with hCards,Articles with short description,Articles with unsourced statements from January 2023,Ballistics experts,Biography with signature,CS1: long volume value,CS1 French-language sources (fr),CS1 Italian-language sources (it),CS1 interwiki-linked names,Fabulists,Fluid dynamicists,Good articles,Historical figures with ambiguous or disputed sexuality,History of anatomy,Italian LGBTQ painters,Italian LGBTQ sculptors,Italian Renaissance architects,Italian Renaissance humanists,Italian Renaissance painters,Italian Renaissance sculptors,Italian Roman Catholics,Italian anatomists,Italian botanical illustrators,Italian caricaturists,Italian civil engineers,Italian male painters,Italian male sculptors,Italian military engineers,Italian physiologists,Leonardo da Vinci,Mathematical artists,Pages containing links to subscription-only content,Pages including recorded pronunciations,Pages using Sister project links with hidden wikidata,Pages using the Phonos extension,Pages with Italian IPA,Pages with non-numeric formatnum arguments,Painters from Florence,People prosecuted under anti-homosexuality laws,Philosophical theists,Physiognomists,Short description is different from Wikidata,Use British English from December 2024,Use dmy dates from May 2024,Webarchive template wayback links,Wikipedia articles incorporating a citation from the 1911 Encyclopaedia Britannica with Wikisource reference,Wikipedia indefinitely move-protected pages,Wikipedia indefinitely semi-protected pages,Writers who illustrated their own writing",,"[""1452 births"", ""1519 deaths"", ""15th-century Italian mathematicians"", ""15th-century Italian painters"", ""15th-century Italian scientists"", ""15th-century Italian sculptors"", ""15th-century people from the Republic of Florence"", ""16th-century Italian inventors"", ""16th-century Italian mathematicians"", ""16th-century Italian painters"", ""16th-century Italian scientists"", ""16th-century Italian sculptors"", ""16th-century people from the Republic of Florence"", ""All articles with failed verification"", ""All articles with unsourced statements"", ""Ambassadors of the Republic of Florence"", ""Articles containing French-language text"", ""Articles containing Italian-language text"", ""Articles containing Spanish-language text"", ""Articles with LibriVox links"", ""Articles with Project Gutenberg links"", ""Articles with failed verification from February 2023"", ""Articles with hCards"", ""Articles with short description"", ""Articles with unsourced statements from January 2023"", ""Ballistics experts"", ""Biography with signature"", ""CS1: long volume value"", ""CS1 French-language sources (fr)"", ""CS1 Italian-language sources (it)"", ""CS1 interwiki-linked names"", ""Fabulists"", ""Fluid dynamicists"", ""Good articles"", ""Historical figures with ambiguous or disputed sexuality"", ""History of anatomy"", ""Italian LGBTQ painters"", ""Italian LGBTQ sculptors"", ""Italian Renaissance architects"", ""Italian Renaissance humanists"", ""Italian Renaissance painters"", ""Italian Renaissance sculptors"", ""Italian Roman Catholics"", ""Italian anatomists"", ""Italian botanical illustrators"", ""Italian caricaturists"", ""Italian civil engineers"", ""Italian male painters"", ""Italian male sculptors"", ""Italian military engineers"", ""Italian physiologists"", ""Leonardo da Vinci"", ""Mathematical artists"", ""Pages containing links to subscription-only content"", ""Pages including recorded pronunciations"", ""Pages using Sister project links with hidden wikidata"", ""Pages using the Phonos extension"", ""Pages with Italian IPA"", ""Pages with non-numeric formatnum arguments"", ""Painters from Florence"", ""People prosecuted under anti-homosexuality laws"", ""Philosophical theists"", ""Physiognomists"", ""Short description is different from Wikidata"", ""Use British English from December 2024"", ""Use dmy dates from May 2024"", ""Webarchive template wayback links"", ""Wikipedia articles incorporating a citation from the 1911 Encyclopaedia Britannica with Wikisource reference"", ""Wikipedia indefinitely move-protected pages"", ""Wikipedia indefinitely semi-protected pages"", ""Writers who illustrated their own writing""]",2025-03-25 21:21:00
Quantum mechanics,True,25202,101431,141364,4712.13,1897,8036,9,102,1280988445,2025-03-17T16:37:09Z,8,True,"Articles with separate introductions,Articles with short description,CS1 German-language sources (de),Good articles,Pages using Sister project links with default search,Quantum mechanics,Short description is different from Wikidata,Webarchive template wayback links,Wikipedia indefinitely semi-protected pages",,"[""Articles with separate introductions"", ""Articles with short description"", ""CS1 German-language sources (de)"", ""Good articles"", ""Pages using Sister project links with default search"", ""Quantum mechanics"", ""Short description is different from Wikidata"", ""Webarchive template wayback links"", ""Wikipedia indefinitely semi-protected pages""]",2025-03-25 21:21:00
Internet,True,14539,158813,240033,8001.1,2440,9672,37,191,1281337866,2025-03-19T19:35:03Z,6,True,"1969 establishments in the United States,All Wikipedia articles written in American English,All articles containing potentially dated statements,All articles with dead external links,American inventions,Articles containing potentially dated statements from 2018,Articles containing potentially dated statements from March 2011,Articles with dead external links from September 2024,Articles with permanently dead external links,Articles with short description,CS1: long volume value,CS1 Russian-language sources (ru),Computer-related introductions in 1969,Cultural globalization,Digital technology,Free-content attribution,Free content from UNESCO,Internet,Main topic articles,Mass media technology,New media,Pages containing links to subscription-only content,Pages using Sister project links with default search,Pages using the Graph extension,Pages with disabled graphs,Promotion and marketing communications,Public services,Short description is different from Wikidata,Telecommunications,Telegraphy,Transport systems,Use American English from August 2020,Use dmy dates from August 2020,Virtual reality,Webarchive template wayback links,Wikipedia indefinitely move-protected pages,Wikipedia indefinitely semi-protected pages",,"[""1969 establishments in the United States"", ""All Wikipedia articles written in American English"", ""All articles containing potentially dated statements"", ""All articles with dead external links"", ""American inventions"", ""Articles containing potentially dated statements from 2018"", ""Articles containing potentially dated statements from March 2011"", ""Articles with dead external links from September 2024"", ""Articles with permanently dead external links"", ""Articles with short description"", ""CS1: long volume value"", ""CS1 Russian-language sources (ru)"", ""Computer-related introductions in 1969"", ""Cultural globalization"", ""Digital technology"", ""Free-content attribution"", ""Free content from UNESCO"", ""Internet"", ""Main topic articles"", ""Mass media technology"", ""New media"", ""Pages containing links to subscription-only content"", ""Pages using Sister project links with default search"", ""Pages using the Graph extension"", ""Pages with disabled graphs"", ""Promotion and marketing communications"", ""Public services"", ""Short description is different from Wikidata"", ""Telecommunications"", ""Telegraphy"", ""Transport systems"", ""Use American English from August 2020"", ""Use dmy dates from August 2020"", ""Virtual reality"", ""Webarchive template wayback links"", ""Wikipedia indefinitely move-protected pages"", ""Wikipedia indefinitely semi-protected pages""]",2025-03-25 21:21:01
Solar System,True,26903,228940,214283,7142.77,1857,11833,22,329,1281369542,2025-03-19T23:35:52Z,5,True,"All Wikipedia articles written in American English,Articles with hAudio microformats,Articles with short description,CS1 errors: periodical ignored,Featured articles,Pages using Sister project links with default search,Pages using Sister project links with hidden wikidata,Pages using multiple image with auto scaled images,Pages with broken reference names,Pages with reference errors,Planetary science,Planetary systems with eight confirmed planets,Short description is different from Wikidata,Solar System,Source attribution,Space science,Spoken articles,Use American English from August 2024,Use dmy dates from August 2024,Webarchive template wayback links,Wikipedia articles incorporating a citation from the 1911 Encyclopaedia Britannica with Wikisource reference,Wikipedia indefinitely semi-protected pages",,"[""All Wikipedia articles written in American English"", ""Articles with hAudio microformats"", ""Articles with short description"", ""CS1 errors: periodical ignored"", ""Featured articles"", ""Pages using Sister project links with default search"", ""Pages using Sister project links with hidden wikidata"", ""Pages using multiple image with auto scaled images"", ""Pages with broken reference names"", ""Pages with reference errors"", ""Planetary science"", ""Planetary systems with eight confirmed planets"", ""Short description is different from Wikidata"", ""Solar System"", ""Source attribution"", ""Space science"", ""Spoken articles"", ""Use American English from August 2024"", ""Use dmy dates from August 2024"", ""Webarchive template wayback links"", ""Wikipedia articles incorporating a citation from the 1911 Encyclopaedia Britannica with Wikisource reference"", ""Wikipedia indefinitely semi-protected pages""]",2025-03-25 21:21:02
Human genome,True,42888,100921,25395,846.5,538,2318,15,118,1281035368,2025-03-17T22:16:17Z,7,False,"All articles with unsourced statements,Articles using infobox templates with no data rows,Articles with short description,Articles with unsourced statements from January 2020,Articles with unsourced statements from March 2023,Chromosomes (human),Commons category link from Wikidata,Genetic mapping,Genomics,Human evolution,Human genetics,Short description is different from Wikidata,Use dmy dates from August 2019,Webarchive template wayback links,Wikipedia articles needing page number citations from April 2023",,"[""All articles with unsourced statements"", ""Articles using infobox templates with no data rows"", ""Articles with short description"", ""Articles with unsourced statements from January 2020"", ""Articles with unsourced statements from March 2023"", ""Chromosomes (human)"", ""Commons category link from Wikidata"", ""Genetic mapping"", ""Genomics"", ""Human evolution"", ""Human genetics"", ""Short description is different from Wikidata"", ""Use dmy dates from August 2019"", ""Webarchive template wayback links"", ""Wikipedia articles needing page number citations from April 2023""]",2025-03-25 21:21:03
